IP 주소,포트,프로토콜,웹서비스,서버 정보,스캔 시간
127.0.0.1,80,tcp,HTTP,Microsoft-IIS/10.0,2024-12-09 11:33:27
127.0.0.1,135,tcp,No,Unknown,2024-12-09 11:33:27
127.0.0.1,445,tcp,No,Unknown,2024-12-09 11:33:27
127.0.0.1,1235,tcp,HTTP,ASD WebServer/1.0,2024-12-09 11:33:27
127.0.0.1,2179,tcp,No,Unknown,2024-12-09 11:33:27
127.0.0.1,4047,tcp,HTTP,Unknown,2024-12-09 11:33:27
127.0.0.1,4048,tcp,HTTP,Unknown,2024-12-09 11:33:27
127.0.0.1,5000,tcp,HTTP,Werkzeug/3.0.3 Python/3.11.9,2024-12-09 11:33:27
127.0.0.1,5040,tcp,No,Unknown,2024-12-09 11:33:27
127.0.0.1,5357,tcp,HTTP,Microsoft-HTTPAPI/2.0,2024-12-09 11:33:27
127.0.0.1,6063,tcp,No,Unknown,2024-12-09 11:33:27
127.0.0.1,8380,tcp,HTTP,Unknown,2024-12-09 11:33:27
127.0.0.1,42235,tcp,No,Unknown,2024-12-09 11:33:27
127.0.0.1,49664,tcp,No,Unknown,2024-12-09 11:33:27
127.0.0.1,49665,tcp,No,Unknown,2024-12-09 11:33:27
127.0.0.1,49666,tcp,No,Unknown,2024-12-09 11:33:27
127.0.0.1,49667,tcp,No,Unknown,2024-12-09 11:33:27
127.0.0.1,49683,tcp,No,Unknown,2024-12-09 11:33:27
127.0.0.1,49684,tcp,No,Unknown,2024-12-09 11:33:27
127.0.0.1,49714,tcp,No,Unknown,2024-12-09 11:33:27
127.0.0.1,55920,tcp,No,Unknown,2024-12-09 11:33:27
127.0.0.1,59001,tcp,HTTP,Microsoft-HTTPAPI/2.0,2024-12-09 11:33:27
127.0.0.1,59100,tcp,No,Unknown,2024-12-09 11:33:27
